srcip,dstip,proto,dur,sbytes,dbytes,service,attack_cat,label
59.166.0.9,149.171.126.9,tcp,10.190947,19202,1087890,-,,0
59.166.0.8,149.171.126.6,udp,0.000987,146,178,dns,,0
59.166.0.9,149.171.126.5,udp,0.001086,146,178,dns,,0
59.166.0.9,149.171.126.6,tcp,1.006372,1684,10168,http,,0
59.166.0.9,149.171.126.9,tcp,0.056874,2646,26060,-,,0
59.166.0.5,149.171.126.6,udp,0.001047,130,162,dns,,0
59.166.0.3,149.171.126.8,tcp,0.011984,2230,14740,-,,0
59.166.0.6,149.171.126.7,tcp,0.024925,3806,51422,-,,0
59.166.0.4,149.171.126.1,tcp,6.800908,18370,1087890,http,,0
59.166.0.9,149.171.126.2,tcp,0.021239,37178,3276,smtp,,0
59.166.0.3,149.171.126.8,tcp,0.04651,320,1846,ftp-data,,0
59.166.0.9,149.171.126.4,tcp,0.034482,37260,3380,-,,0
59.166.0.7,149.171.126.4,tcp,0.254802,3728,5474,ssh,,0
59.166.0.9,149.171.126.2,tcp,0.3152,4872,2976,-,,0
59.166.0.5,149.171.126.1,tcp,0.023299,1540,1644,-,,0
175.45.176.1,149.171.126.12,unas,4e-06,200,0,-, Fuzzers,1
59.166.0.2,149.171.126.5,udp,0.001146,146,178,-,,0
175.45.176.1,149.171.126.11,udp,1.3e-05,1308,0,-,Generic,1
59.166.0.2,149.171.126.3,udp,0.001068,130,162,dns,,0
59.166.0.3,149.171.126.2,tcp,0.591447,13558,548216,-,,0
59.166.0.3,149.171.126.0,tcp,1.43685,12472,12716,-,,0
59.166.0.7,149.171.126.1,tcp,0.015961,2646,24330,-,,0
59.166.0.5,149.171.126.4,udp,0.00093,130,162,dns,,0
59.166.0.2,149.171.126.2,udp,0.00099,146,178,dns,,0
59.166.0.8,149.171.126.7,tcp,0.017999,2974,30516,-,,0
59.166.0.8,149.171.126.4,tcp,0.002934,320,1860,ftp-data,,0
59.166.0.4,149.171.126.7,tcp,0.004479,8928,320,ftp-data,,0
59.166.0.8,149.171.126.0,tcp,1.292697,2934,3742,ftp,,0
59.166.0.1,149.171.126.2,udp,0.400388,568,320,-,,0
59.166.0.2,149.171.126.0,tcp,0.016186,2766,26586,-,,0
59.166.0.5,149.171.126.1,tcp,1.053958,1580,10168,http,,0
59.166.0.0,149.171.126.3,tcp,0.211529,4862,80646,-,,0
59.166.0.7,149.171.126.7,tcp,0.2268,37184,3380,-,,0
59.166.0.0,149.171.126.9,udp,0.001129,146,178,dns,,0
59.166.0.8,149.171.126.6,tcp,0.004028,1040,824,http,,0
59.166.0.1,149.171.126.2,tcp,0.015993,2334,16734,-,,0
59.166.0.0,149.171.126.0,tcp,0.377142,1958,2308,-,,0
59.166.0.3,149.171.126.0,tcp,0.051466,320,1886,ftp-data,,0
149.171.126.5,59.166.0.4,tcp,0.000784,1824,104,-,,0
59.166.0.0,149.171.126.5,tcp,0.010888,2438,19242,-,,0
59.166.0.3,149.171.126.9,tcp,0.008133,424,8824,ftp-data,,0
59.166.0.1,149.171.126.8,tcp,1.024885,994,10064,-,,0
59.166.0.7,149.171.126.5,tcp,0.004861,3688,2456,-,,0
59.166.0.0,149.171.126.2,tcp,0.049823,4030,56022,-,,0
59.166.0.6,149.171.126.8,tcp,0.006335,2062,2424,-,,0
59.166.0.9,149.171.126.4,udp,0.001027,130,162,dns,,0
59.166.0.3,149.171.126.8,tcp,0.051715,3614,45396,-,,0
59.166.0.3,149.171.126.4,tcp,0.379922,424,8824,ftp-data,,0
175.45.176.2,149.171.126.18,tcp,0.224732,820,1136,http,Exploits,1
59.166.0.3,149.171.126.1,tcp,0.021993,4424,2560,-,,0
59.166.0.1,149.171.126.8,tcp,0.00688,8928,320,-,,0
59.166.0.6,149.171.126.7,udp,0.004828,568,320,-,,0
59.166.0.0,149.171.126.1,tcp,0.183724,5070,84082,-,,0
59.166.0.4,149.171.126.8,tcp,0.026578,37272,3276,-,,0
59.166.0.7,149.171.126.1,udp,0.005327,146,178,-,,0
59.166.0.5,149.171.126.0,tcp,0.025065,2542,23278,-,,0
59.166.0.8,149.171.126.6,tcp,1.01889,1684,10168,-,,0
59.166.0.4,149.171.126.0,tcp,0.025761,3598,45608,-,,0
59.166.0.4,149.171.126.7,tcp,0.005062,4496,2456,-,,0
59.166.0.3,149.171.126.4,tcp,0.020606,1540,1644,-,,0
59.166.0.4,149.171.126.4,udp,0.133415,568,312,-,,0
59.166.0.0,149.171.126.2,tcp,1.008057,1580,10168,http,,0
59.166.0.1,149.171.126.0,tcp,0.017985,2766,26160,-,,0
59.166.0.7,149.171.126.1,tcp,0.004398,424,8824,ftp-data,,0
59.166.0.2,149.171.126.5,tcp,0.004982,1056,824,http,,0
59.166.0.2,149.171.126.0,tcp,0.032216,3390,40986,-,,0
59.166.0.2,149.171.126.4,tcp,2.717184,13766,548216,-,,0
59.166.0.3,149.171.126.3,udp,0.001124,146,178,dns,,0
59.166.0.5,149.171.126.6,udp,0.001035,146,178,dns,,0
59.166.0.9,149.171.126.7,tcp,0.059014,4862,76316,-,,0
59.166.0.4,149.171.126.6,tcp,1.025188,1010,9952,-,,0
59.166.0.7,149.171.126.1,tcp,0.042755,4238,61244,-,,0
59.166.0.3,149.171.126.1,tcp,0.222435,424,8824,ftp-data,,0
59.166.0.6,149.171.126.3,udp,0.000973,146,178,-,,0
59.166.0.2,149.171.126.0,udp,0.001045,130,162,dns,,0
59.166.0.1,149.171.126.2,udp,0.001056,146,178,dns,,0
59.166.0.0,149.171.126.2,tcp,0.006776,4400,2456,-,,0
59.166.0.3,149.171.126.8,udp,0.001076,130,162,-,,0
59.166.0.0,149.171.126.4,udp,0.001756,528,304,-,,0
59.166.0.8,149.171.126.0,tcp,1.748853,12472,12820,-,,0
59.166.0.0,149.171.126.1,tcp,0.451476,4736,3080,-,,0
59.166.0.1,149.171.126.2,tcp,0.015396,1064,2364,-,,0
59.166.0.9,149.171.126.5,udp,0.001684,512,304,-,,0
59.166.0.5,149.171.126.0,tcp,1.007823,1684,10168,http,,0
59.166.0.3,149.171.126.1,udp,0.000971,146,178,dns,,0
59.166.0.7,149.171.126.3,tcp,2.974773,2934,3738,ftp,,0
59.166.0.9,149.171.126.5,udp,0.001079,130,162,-,,0
59.166.0.1,149.171.126.9,udp,0.00106,130,162,dns,,0
59.166.0.2,149.171.126.7,tcp,0.031536,2854,30384,-,,0
59.166.0.9,149.171.126.1,tcp,0.38838,4664,3080,-,,0
59.166.0.9,149.171.126.4,udp,0.001093,146,178,dns,,0
59.166.0.8,149.171.126.4,tcp,0.024883,2958,32408,-,,0
59.166.0.9,149.171.126.7,tcp,0.04154,2750,27602,-,,0
175.45.176.1,149.171.126.18,udp,1e-06,114,0,dns,Generic,1
59.166.0.9,149.171.126.4,tcp,0.546521,424,8824,ftp-data,,0
59.166.0.1,149.171.126.2,tcp,0.028927,2766,25742,-,,0
59.166.0.4,149.171.126.5,tcp,0.027746,2766,28906,-,,0
59.166.0.0,149.171.126.4,udp,0.001011,130,162,dns,,0
59.166.0.6,149.171.126.6,tcp,0.068658,2958,32650,-,,0
149.171.126.18,175.45.176.1,udp,1.2e-05,264,0,dns,,0
59.166.0.9,149.171.126.0,udp,0.004765,568,320,-,,0
59.166.0.9,149.171.126.8,udp,0.001023,132,164,dns,,0
59.166.0.9,149.171.126.1,tcp,0.044277,2438,19266,-,,0
59.166.0.4,149.171.126.0,tcp,0.027952,4014,58418,-,,0
59.166.0.1,149.171.126.9,tcp,1.046837,1580,10168,http,,0
59.166.0.7,149.171.126.6,tcp,4.143847,19410,1087890,-,,0
59.166.0.5,149.171.126.9,udp,0.000978,130,162,dns,,0
59.166.0.7,149.171.126.0,udp,0.001083,146,178,dns,,0
59.166.0.8,149.171.126.4,tcp,1.72993,9608,12298,ssh,,0
59.166.0.8,149.171.126.4,tcp,0.020045,3182,39582,-,,0
59.166.0.7,149.171.126.3,tcp,0.004747,1054,824,-,,0
59.166.0.2,149.171.126.4,udp,0.001794,528,304,-,,0
59.166.0.2,149.171.126.4,udp,0.001089,146,178,dns,,0
59.166.0.7,149.171.126.9,tcp,1.107972,1684,10168,http,,0
59.166.0.7,149.171.126.5,udp,0.001136,146,178,dns,,0
